service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,1,1,1,1,1,0,0,20190726,20191214
T0#1,1,1,1,1,1,0,0,20190416,20190910
T0#2,1,1,1,1,1,0,0,20190704,20190930
T0#3,1,1,1,1,1,0,0,20190805,20191214
T0#4,1,1,1,1,1,0,0,20190401,20191214
T0#5,1,1,1,1,1,0,0,20181209,20191214
T0+02l20,0,0,1,0,0,0,0,20190416,20190910
T0+09130,1,1,1,0,1,0,0,20190726,20191214
T0+0bz20,1,1,1,1,1,0,0,20190704,20190930
T0+1gb30,1,1,0,0,1,0,0,20190805,20191214
T0+1i130,1,1,0,0,0,0,0,20190726,20191214
T0+1i130#1,1,1,0,0,0,0,0,20190805,20191214
T0+1q830,0,0,1,0,1,0,0,20190805,20191214
T0+207,0,0,0,0,1,0,0,20190726,20191214
T0+24y20,1,1,1,1,0,0,0,20190704,20190930
T0+27y20,1,1,1,0,0,0,0,20190704,20190930
T0+2fx20,0,1,0,0,1,0,0,20190704,20190930
T0+2j130,1,1,0,0,1,0,0,20190726,20191214
T0+2kd30,0,1,1,0,1,0,0,20190805,20191214
T0+38w20,1,1,1,1,1,0,0,20190704,20190930
T0+3c130,1,1,1,1,1,0,0,20190726,20191214
T0+3c130#1,1,1,1,1,1,0,0,20190805,20191214
T0+3hp20,0,1,0,0,0,0,0,20190416,20190910
T0+3jo20,0,1,1,1,1,0,0,20190416,20190910
T0+3w930,1,1,0,0,1,0,0,20190805,20191214
T0+3x230,1,1,0,0,0,0,0,20190726,20191214
T0+3x230#1,1,1,0,0,0,0,0,20190805,20191214
T0+4sy20,1,0,0,0,1,0,0,20190704,20190930
T0+4u130,0,1,0,1,0,0,0,20190726,20191214
T0+4u130#1,0,1,0,1,0,0,0,20190805,20191214
T0+51x20,0,1,0,1,0,0,0,20190704,20190930
T0+56p20,1,0,0,0,1,0,0,20190416,20190910
T0+5dm20,1,1,0,0,0,0,0,20190416,20190910
T0+5p330,1,1,1,1,1,0,0,20190726,20191214
T0+5r230,1,1,1,0,1,0,0,20190726,20191214
T0+5wo20,0,1,1,0,1,0,0,20190416,20190910
T0+6b030,1,1,0,1,1,0,0,20190726,20191214
T0+6ex20,1,0,1,1,0,0,0,20190704,20190930
T0+6fx20,0,1,0,0,0,0,0,20190704,20190930
T0+6p930,1,1,1,1,1,0,0,20190805,20191214
T0+6xa30,0,1,0,0,1,0,0,20190805,20191214
T0+6xw20,1,1,0,0,1,0,0,20190704,20190930
T0+71c30,1,1,1,1,1,0,0,20190805,20191214
T0+74530,0,1,1,1,1,0,0,20190726,20191214
T0+7i030,1,1,0,1,1,0,0,20190726,20191214
T0+7i030#1,1,1,0,1,1,0,0,20190805,20191214
T0+84030,1,1,1,1,1,0,0,20190726,20191214
T0+8cb20,1,1,1,1,1,0,0,20190401,20191214
T0+8j030,1,1,1,1,1,0,0,20190726,20191214
T0+8tw20,1,1,1,1,1,0,0,20190704,20190930
T0+9b130,1,1,1,1,1,0,0,20190726,20191214
T0+9i530,1,0,0,1,0,0,0,20190726,20191214
T0+9i530#1,1,0,0,1,0,0,0,20190805,20191214
T0+9oy20,1,0,0,1,0,0,0,20190704,20190930
T0+a5d30,0,0,0,0,1,0,0,20190805,20191214
T0+a6,0,0,0,0,1,0,0,20181209,20191214
T0+a8,1,1,1,1,1,0,0,20181209,20191214
T0+af030,1,1,1,1,1,0,0,20190805,20191214
T0+af030#1,1,1,1,1,1,0,0,20190726,20191214
T0+b5x20,1,1,1,0,0,0,0,20190726,20191214
T0+b9w20,1,1,1,1,0,0,0,20190704,20190930
T0+bsw20,0,0,0,0,1,0,0,20190704,20190930
T0+bsw20#1,0,0,0,0,1,0,0,20190726,20191214
T0+bwn20,1,1,1,0,0,0,0,20190416,20190910
T0+c6530,0,0,0,1,1,0,0,20190726,20191214
T0+c7m20,0,1,0,0,1,0,0,20190416,20190910
T0+c8k20,0,0,1,0,1,0,0,20190416,20190910
T0+c9330,1,1,1,1,1,0,0,20190726,20191214
T0+cjo20,1,0,0,0,0,0,0,20190416,20190910
T0+d5l20,1,1,1,1,1,0,0,20190416,20190910
T0+d9k20,1,1,1,1,0,0,0,20190416,20190910
T0+dak20,1,1,0,1,1,0,0,20190416,20190910
T0+dd330,1,1,0,0,1,0,0,20190726,20191214
T0+dew20,1,1,1,1,1,0,0,20190704,20190930
