service_id,date,exception_type
T0,20191003,2
T0,20191101,2
T0#1,20190419,2
T0#1,20190422,2
T0#1,20190501,2
T0#1,20190530,2
T0#1,20190610,2
T0#1,20190620,2
T0#3,20191003,2
T0#3,20191101,2
T0#4,20190419,2
T0#4,20190422,2
T0#4,20190501,2
T0#4,20190530,2
T0#4,20190610,2
T0#4,20190620,2
T0#4,20191003,2
T0#4,20191101,2
T0#5,20181224,2
T0#5,20181225,2
T0#5,20181226,2
T0#5,20181231,2
T0#5,20190101,2
T0#5,20190419,2
T0#5,20190422,2
T0#5,20190501,2
T0#5,20190530,2
T0#5,20190610,2
T0#5,20190620,2
T0#5,20191003,2
T0#5,20191101,2
T0+02l20,20190417,2
T0+02l20,20190424,2
T0+02l20,20190501,2
T0+02l20,20190515,2
T0+02l20,20190731,2
T0+02l20,20190807,2
T0+02l20,20190814,2
T0+02l20,20190821,2
T0+02l20,20190828,2
T0+02l20,20190904,2
T0+09130,20190802,2
T0+09130,20190805,2
T0+09130,20190806,2
T0+09130,20190807,2
T0+09130,20190809,2
T0+09130,20190812,2
T0+09130,20190813,2
T0+09130,20190814,2
T0+09130,20190816,2
T0+09130,20190819,2
T0+09130,20190820,2
T0+09130,20190821,2
T0+09130,20190823,2
T0+09130,20190826,2
T0+09130,20190827,2
T0+09130,20190828,2
T0+09130,20190830,2
T0+09130,20190902,2
T0+09130,20190903,2
T0+09130,20190904,2
T0+09130,20190906,2
T0+09130,20190909,2
T0+09130,20190910,2
T0+09130,20190911,2
T0+09130,20190913,2
T0+09130,20190916,2
T0+09130,20190917,2
T0+09130,20190918,2
T0+09130,20190920,2
T0+09130,20190923,2
T0+09130,20190924,2
T0+09130,20190925,2
T0+09130,20190927,2
T0+09130,20190930,2
T0+09130,20191001,2
T0+09130,20191002,2
T0+09130,20191004,2
T0+09130,20191007,2
T0+09130,20191008,2
T0+09130,20191009,2
T0+09130,20191011,2
T0+09130,20191014,2
T0+09130,20191015,2
T0+09130,20191016,2
T0+09130,20191018,2
T0+09130,20191021,2
T0+09130,20191022,2
T0+09130,20191023,2
T0+09130,20191025,2
T0+09130,20191028,2
T0+09130,20191029,2
T0+09130,20191030,2
T0+09130,20191101,2
T0+09130,20191104,2
T0+09130,20191105,2
T0+09130,20191106,2
T0+09130,20191108,2
T0+09130,20191111,2
T0+09130,20191112,2
T0+09130,20191113,2
T0+09130,20191115,2
T0+09130,20191118,2
T0+09130,20191119,2
T0+09130,20191120,2
T0+09130,20191122,2
T0+09130,20191125,2
T0+09130,20191126,2
T0+09130,20191127,2
T0+09130,20191129,2
T0+09130,20191202,2
T0+09130,20191203,2
T0+09130,20191204,2
T0+09130,20191206,2
T0+09130,20191209,2
T0+09130,20191210,2
T0+09130,20191211,2
T0+09130,20191213,2
T0+0bz20,20190729,2
T0+0bz20,20190730,2
T0+0bz20,20190731,2
T0+0bz20,20190801,2
T0+0bz20,20190802,2
T0+0bz20,20190805,2
T0+0bz20,20190806,2
T0+0bz20,20190807,2
T0+0bz20,20190808,2
T0+0bz20,20190809,2
T0+0bz20,20190812,2
T0+0bz20,20190813,2
T0+0bz20,20190814,2
T0+0bz20,20190815,2
T0+0bz20,20190816,2
T0+0bz20,20190819,2
T0+0bz20,20190820,2
T0+0bz20,20190821,2
T0+0bz20,20190822,2
T0+0bz20,20190823,2
T0+0bz20,20190826,2
T0+0bz20,20190827,2
T0+0bz20,20190828,2
T0+0bz20,20190829,2
T0+0bz20,20190830,2
T0+0bz20,20190902,2
T0+0bz20,20190903,2
T0+0bz20,20190904,2
T0+0bz20,20190905,2
T0+0bz20,20190906,2
T0+0bz20,20190909,2
T0+0bz20,20190910,2
T0+0bz20,20190912,2
T0+0bz20,20190916,2
T0+0bz20,20190917,2
T0+0bz20,20190919,2
T0+0bz20,20190923,2
T0+0bz20,20190924,2
T0+0bz20,20190926,2
T0+0bz20,20190930,2
T0+1gb30,20190807,1
T0+1gb30,20190808,1
T0+1gb30,20190814,1
T0+1gb30,20190815,1
T0+1gb30,20190821,1
T0+1gb30,20190822,1
T0+1gb30,20190828,1
T0+1gb30,20190829,1
T0+1gb30,20190904,1
T0+1gb30,20190905,1
T0+1gb30,20190916,2
T0+1gb30,20190923,2
T0+1gb30,20190930,2
T0+1gb30,20191007,2
T0+1gb30,20191014,2
T0+1gb30,20191021,2
T0+1gb30,20191030,1
T0+1gb30,20191031,1
T0+1gb30,20191101,2
T0+1gb30,20191104,2
T0+1gb30,20191111,2
T0+1gb30,20191118,2
T0+1gb30,20191125,2
T0+1gb30,20191202,2
T0+1gb30,20191209,2
T0+1i130,20190729,2
T0+1i130,20190730,2
T0+1i130,20190805,2
T0+1i130,20190806,2
T0+1i130,20190812,2
T0+1i130,20190813,2
T0+1i130,20190819,2
T0+1i130,20190820,2
T0+1i130,20190826,2
T0+1i130,20190827,2
T0+1i130,20190902,2
T0+1i130,20190903,2
T0+1i130,20190909,2
T0+1i130,20190910,2
T0+1i130,20191028,2
T0+1i130,20191029,2
T0+1i130,20191104,2
T0+1i130,20191105,2
T0+1i130,20191111,2
T0+1i130,20191112,2
T0+1i130,20191118,2
T0+1i130,20191119,2
T0+1i130,20191125,2
T0+1i130,20191126,2
T0+1i130,20191202,2
T0+1i130,20191203,2
T0+1i130,20191209,2
T0+1i130,20191210,2
T0+1i130#1,20190805,2
T0+1i130#1,20190806,2
T0+1i130#1,20190812,2
T0+1i130#1,20190813,2
T0+1i130#1,20190819,2
T0+1i130#1,20190820,2
T0+1i130#1,20190826,2
T0+1i130#1,20190827,2
T0+1i130#1,20190902,2
T0+1i130#1,20190903,2
T0+1i130#1,20190909,2
T0+1i130#1,20190910,2
T0+1i130#1,20191028,2
T0+1i130#1,20191029,2
T0+1i130#1,20191104,2
T0+1i130#1,20191105,2
T0+1i130#1,20191111,2
T0+1i130#1,20191112,2
T0+1i130#1,20191118,2
T0+1i130#1,20191119,2
T0+1i130#1,20191125,2
T0+1i130#1,20191126,2
T0+1i130#1,20191202,2
T0+1i130#1,20191203,2
T0+1i130#1,20191209,2
T0+1i130#1,20191210,2
T0+1q830,20190807,2
T0+1q830,20190809,2
T0+1q830,20190814,2
T0+1q830,20190816,2
T0+1q830,20190821,2
T0+1q830,20190823,2
T0+1q830,20190828,2
T0+1q830,20190830,2
T0+1q830,20190904,2
T0+1q830,20190906,2
T0+1q830,20191030,2
T0+1q830,20191101,2
T0+207,20190802,2
T0+207,20190809,2
T0+207,20190816,2
T0+207,20190823,2
T0+207,20190830,2
T0+207,20190906,2
T0+207,20190913,2
T0+207,20190920,2
T0+207,20190927,2
T0+207,20191004,2
T0+207,20191011,2
T0+207,20191018,2
T0+207,20191025,2
T0+207,20191101,2
T0+207,20191108,2
T0+207,20191115,2
T0+207,20191122,2
T0+207,20191129,2
T0+207,20191206,2
T0+207,20191213,2
T0+24y20,20190704,2
T0+24y20,20190708,2
T0+24y20,20190709,2
T0+24y20,20190710,2
T0+24y20,20190711,2
T0+24y20,20190715,2
T0+24y20,20190716,2
T0+24y20,20190717,2
T0+24y20,20190718,2
T0+24y20,20190722,2
T0+24y20,20190723,2
T0+24y20,20190724,2
T0+24y20,20190725,2
T0+24y20,20190911,2
T0+24y20,20190912,2
T0+24y20,20190916,2
T0+24y20,20190917,2
T0+24y20,20190918,2
T0+24y20,20190919,2
T0+24y20,20190923,2
T0+24y20,20190924,2
T0+24y20,20190925,2
T0+24y20,20190926,2
T0+24y20,20190930,2
T0+27y20,20190729,2
T0+27y20,20190730,2
T0+27y20,20190731,2
T0+27y20,20190805,2
T0+27y20,20190806,2
T0+27y20,20190807,2
T0+27y20,20190812,2
T0+27y20,20190813,2
T0+27y20,20190814,2
T0+27y20,20190819,2
T0+27y20,20190820,2
T0+27y20,20190821,2
T0+27y20,20190826,2
T0+27y20,20190827,2
T0+27y20,20190828,2
T0+27y20,20190902,2
