route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
40-25-j19-1,1.T0.40-25-j19-1.1.H,T0+a8,Crailsheim Procter & Gamble - Künzelsau Landratsamt,0,,
40-40-j19-1,1.T0.40-40-j19-1.1.H,T0#5,Gaildorf ZOB - Gaildorf Post,0,,
40-r08-j19-1,1.T0.40-r08-j19-1.1.H,T0#5,Crailsheim ZOB - Oberrot Rathaus,0,,
40-r10-j19-1,1.T0.40-r10-j19-1.1.H,T0#5,Schwäb. Hall Spitalbach West - Rieden (Kr SHA) Ort,0,,
40-r16-n-j19-1,1.T0.40-r16-n-j19-1.1.H,T0+a6,Schwäb. Hall Spitalbach West - Oberrot Rathaus,0,,
40-r18-j19-1,1.T0.40-r18-j19-1.1.H,T0#5,Vellberg Städtle - Ilshofen Steinbrunnen,0,,
40-r20-j19-1,1.T0.40-r20-j19-1.1.H,T0#5,Schwäb. Hall Spitalbach West - Hütten Ortsmitte,0,,
40-r23-j19-1,1.T0.40-r23-j19-1.1.H,T0#5,Schwäbisch Hall Bahnhof - Eckartshausen Waage,0,,
40-r26-j19-1,1.T0.40-r26-j19-1.5.H,T0#5,Schwäbisch Hall Bahnhof - Orlach Ort,0,,
40-r43-j19-1,1.T0.40-r43-j19-1.1.H,T0#5,Gaildorf ZOB - Gaildorf ZOB,0,,
40-r45-j19-1,1.T0.40-r45-j19-1.1.H,T0#5,Gaildorf ZOB - Laufen Schule,0,,
40-r58-j19-1,1.T0.40-r58-j19-1.1.H,T0#5,Crailsheim ZOB - Crailsheim ZOB,0,,
40-r59-j19-1,1.T0.40-r59-j19-1.1.H,T0#5,Crailsheim ZOB - Fi- Neustädtl. Feuerwehrhaus,0,,
40-r60-j19-1,1.T0.40-r60-j19-1.1.H,T0#5,Crailsheim ZOB - Rechenberg Schule,0,,
40-r62-j19-1,1.T0.40-r62-j19-1.1.H,T0#5,Crailsheim ZOB - Honhardt Post,0,,
40-r64-j19-1,1.T0.40-r64-j19-1.1.H,T0#5,Crailsheim Fa. Schaeff - Nesselbach Steinacher Straße,0,,
40-r66-j19-1,1.T0.40-r66-j19-1.1.H,T0#5,Unteraspach Oberaspach - Amlishagen Ort,0,,
40-r66-n-j19-1,1.T0.40-r66-n-j19-1.1.H,T0+a6,Crailsheim ZOB - Obersteinach Ort,0,,
40-r90-j19-1,1.T0.40-r90-j19-1.1.H,T0#5,Blaufelden Bahnhof - Schrozberg Schloß,0,,
40-r26-j19-1,10.T0.40-r26-j19-1.6.R,T0+a6,Orlach Ort - Schwäbisch Hall Bahnhof,1,,
