"Stadtteile (9)","Stadtteil","Alter","","evangelisch","römisch-katholisch","sonstige/keine Religion","men","women","deutsch","nichtdeutsch","Deutsch ohne Zuwanderungsgeschichte","Deutsch mit Zuwanderungsgeschichte","nichtdeutsch","Gesamt"

"001","Kernstadt Heilbronn","00","0 Jahre",16,9,631,322,334,532,124,179,353,124,656
"","","01","1 Jahr",48,59,572,339,340,520,159,149,371,159,679
"","","02","2 Jahre",77,58,518,351,302,526,127,169,357,127,653
"","","03","3 Jahre",54,61,468,298,285,450,133,122,328,133,583
"","","04","4 Jahre",71,80,440,319,272,455,136,133,322,136,591
"","","05","5 Jahre",79,72,443,308,286,472,122,138,334,122,594
"","","06","6 Jahre",67,68,397,264,268,419,113,112,307,113,532
"","","07","7 Jahre",98,79,405,293,289,454,128,124,330,128,582
"","","08","8 Jahre",79,67,407,277,276,423,130,126,297,130,553
"","","09","9 Jahre",84,109,395,304,284,447,141,123,324,141,588
"","","10","10 Jahre",96,83,372,284,267,420,131,126,294,131,551
"","","11","11 Jahre",110,83,428,311,310,513,108,158,355,108,621
"","","12","12 Jahre",87,104,397,285,303,473,115,136,337,115,588
"","","13","13 Jahre",116,96,360,286,286,451,121,159,292,121,572
"","","14","14 Jahre",114,80,388,319,263,470,112,140,330,112,582
"","","15","15 Jahre",117,91,379,300,287,454,133,153,301,133,587
"","","16","16 Jahre",120,77,372,289,280,437,132,151,286,132,569
"","","17","17 Jahre",125,102,322,288,261,422,127,162,260,127,549
"","","18","18 Jahre",145,104,382,326,305,481,150,247,234,150,631
"","","19","19 Jahre",151,124,374,344,305,412,237,250,162,237,649
"","","20","20 Jahre",181,150,422,407,346,489,264,310,179,264,753
"","","21","21 Jahre",180,180,470,424,406,487,343,305,182,343,830
"","","22","22 Jahre",207,165,501,461,412,530,343,343,187,343,873
"","","23","23 Jahre",207,171,546,493,431,535,389,354,181,389,924
"","","24","24 Jahre",233,191,562,517,469,551,435,361,190,435,986
"","","25","25 Jahre",224,200,625,562,487,632,417,451,181,417,1.049
"","","26","26 Jahre",230,204,628,566,496,617,445,416,201,445,1.062
"","","27","27 Jahre",229,220,664,619,494,644,469,417,227,469,1.113
"","","28","28 Jahre",220,189,735,625,519,603,541,429,174,541,1.144
"","","29","29 Jahre",201,211,700,617,495,622,490,427,195,490,1.112
"","","30","30 Jahre",201,219,660,604,476,627,453,434,193,453,1.080
"","","31","31 Jahre",215,211,700,609,517,644,482,441,203,482,1.126
"","","32","32 Jahre",185,180,648,537,476,591,422,405,186,422,1.013
"","","33","33 Jahre",172,153,668,546,447,527,466,344,183,466,993
"","","34","34 Jahre",172,175,603,520,430,507,443,333,174,443,950
"","","35","35 Jahre",139,166,558,445,418,460,403,294,166,403,863
"","","36","36 Jahre",167,148,589,485,419,519,385,322,197,385,904
"","","37","37 Jahre",167,154,577,474,424,517,381,313,204,381,898
"","","38","38 Jahre",175,155,588,484,434,512,406,348,164,406,918
"","","39","39 Jahre",126,172,573,460,411,466,405,277,189,405,871
"","","40","40 Jahre",158,146,535,460,379,469,370,275,194,370,839
"","","41","41 Jahre",152,152,523,438,389,452,375,271,181,375,827
"","","42","42 Jahre",133,127,511,399,372,396,375,232,164,375,771
"","","43","43 Jahre",140,133,554,450,377,439,388,279,160,388,827
"","","44","44 Jahre",154,131,533,411,407,426,392,252,174,392,818
"","","45","45 Jahre",142,141,531,449,365,419,395,270,149,395,814
"","","46","46 Jahre",152,149,503,411,393,451,353,288,163,353,804
"","","47","47 Jahre",163,175,492,442,388,485,345,325,160,345,830
"","","48","48 Jahre",169,151,516,442,394,520,316,350,170,316,836
"","","49","49 Jahre",181,156,498,466,369,500,335,344,156,335,835
"","","50","50 Jahre",194,151,508,446,407,536,317,377,159,317,853
"","","51","51 Jahre",195,179,475,432,417,538,311,410,128,311,849
"","","52","52 Jahre",185,157,499,459,382,542,299,404,138,299,841
"","","53","53 Jahre",182,147,504,453,380,538,295,409,129,295,833
"","","54","54 Jahre",206,185,460,441,410,590,261,445,145,261,851
"","","55","55 Jahre",174,190,443,442,365,565,242,431,134,242,807
"","","56","56 Jahre",204,155,400,391,368,541,218,410,131,218,759
"","","57","57 Jahre",230,168,429,416,411,619,208,460,159,208,827
"","","58","58 Jahre",193,158,381,366,366,556,176,400,156,176,732
"","","59","59 Jahre",213,170,390,400,373,590,183,421,169,183,773
"","","60","60 Jahre",211,151,320,340,342,518,164,368,150,164,682
"","","61","61 Jahre",198,125,314,311,326,509,128,363,146,128,637
"","","62","62 Jahre",189,137,307,322,311,489,144,342,147,144,633
"","","63","63 Jahre",186,138,307,320,311,492,139,359,133,139,631
"","","64","64 Jahre",189,134,277,284,316,461,139,321,140,139,600
"","","65","65 Jahre",147,124,275,251,295,425,121,288,137,121,546
"","","66","66 Jahre",189,126,253,266,302,449,119,322,127,119,568
"","","67","67 Jahre",199,112,238,240,309,436,113,316,120,113,549
"","","68","68 Jahre",186,118,248,236,316,429,123,315,114,123,552
"","","69","69 Jahre",190,127,256,260,313,437,136,341,96,136,573
"","","70","70 Jahre",148,128,204,217,263,354,126,301,53,126,480
"","","71","71 Jahre",181,96,196,217,256,359,114,303,56,114,473
"","","72","72 Jahre",169,103,169,203,238,337,104,289,48,104,441
"","","73","73 Jahre",141,87,167,170,225,295,100,236,59,100,395
"","","74","74 Jahre",194,104,194,227,265,399,93,317,82,93,492
"","","75","75 Jahre",179,135,187,206,295,412,89,328,84,89,501
"","","76","76 Jahre",179,96,154,196,233,365,64,296,69,64,429
"","","77","77 Jahre",226,117,172,236,279,435,80,341,94,80,515
"","","78","78 Jahre",272,131,179,248,334,497,85,396,101,85,582
"","","79","79 Jahre",260,134,129,221,302,467,56,394,73,56,523
"","","80","80 Jahre",213,118,148,213,266,418,61,333,85,61,479
"","","81","81 Jahre",219,104,115,177,261,381,57,302,79,57,438
"","","82","82 Jahre",221,95,93,163,246,379,30,298,81,30,409
"","","83","83 Jahre",186,80,70,130,206,310,26,247,63,26,336
"","","84","84 Jahre",141,55,72,110,158,238,30,189,49,30,268
"","","85","85 Jahre",113,67,67,92,155,217,30,172,45,30,247
"","","86","86 Jahre",104,69,40,68,145,192,21,145,47,21,213
"","","87","87 Jahre",107,50,32,61,128,178,11,144,34,11,189
"","","88","88 Jahre",103,38,28,56,113,161,8,135,26,8,169
"","","89","89 Jahre",85,31,26,48,94,136,6,104,32,6,142
"","","90","90 Jahre",95,38,16,52,97,144,5,123,21,5,149
"","","91","91 Jahre",49,32,10,28,63,87,4,70,17,4,91
"","","92","92 Jahre",44,34,15,33,60,92,1,76,16,1,93
"","","93","93 Jahre",40,24,8,10,62,72,"0",62,10,"0",72
"","","94","94 Jahre",38,6,12,16,40,52,4,48,4,4,56
"","","95","95 Jahre",24,16,6,11,35,45,1,41,4,1,46
"","","96","96 Jahre",21,9,3,10,23,33,"0",27,6,"0",33
"","","97","97 Jahre",14,5,2,2,19,21,"0",20,1,"0",21
"","","98","98 Jahre",6,9,2,3,14,16,1,15,1,1,17
"","","99","99 Jahre oder �lter",14,4,3,3,18,21,"0",19,2,"0",21
