anzahl,vorname,geschlecht
49,Sophie,w
42,Marie,w
35,Maria,w
31,Emilia,w
30,Lukas,m
27,Leon,m
24,Alexander,m
21,David,m
21,Maximilian,m
21,Emma,w
20,Elif,w
19,Mia,w
18,Luca,m
18,Samuel,m
18,Leonie,w
18,Sofia,w
18,Sophia,w
17,Elias,m
17,Jonas,m
17,Paul,m
17,Lea,w
16,Noah,m
15,Finn,m
15,Liam,m
14,Anna,w
14,Laura,w
14,Ben,m
13,Emily,w
13,Julian,m
13,Raphael,m
12,Alina,w
12,Hanna,w
12,Benjamin,m
12,Mira,w
12,Louis,m
11,Katharina,w
11,Jakob,m
11,Lara,w
11,Lena,w
11,Lina,w
10,Ali,m
10,Daniel,m
10,Emil,m
10,Jasmin,w
10,Emir,m
10,Julia,w
10,Gabriel,m
10,Melina,w
10,Malik,m
10,Mila,w
10,Tim,m
10,Sara,w
10,Valentin,m
9,Amelie,w
9,Erik,m
9,Charlotte,w
9,Jan,m
9,Clara,w
9,Joel,m
9,Elisa,w
9,Joshua,m
9,Johanna,w
9,Nico,m
9,Klara,w
9,Tom,m
9,Leni,w
9,Vincent,m
9,Lotta,w
9,Yusuf,m
9,Maja,w
9,Mina,w
8,Henry,m
8,Leo,m
8,Elena,w
8,Levin,m
8,Hannah,w
8,Luis,m
8,Isabella,w
8,Manuel,m
8,Lia,w
8,Marlon,m
8,Lilly,w
8,Max,m
8,Lisa,w
8,Mert,m
8,Victoria,w
8,Muhammed,m
8,Rafael,m
7,Ella,w
7,Meryem,w
7,Felix,m
7,Nisa,w
7,Jason,m
7,Nora,w
7,Jonathan,m
7,Zeynep,w
7,Maxim,m
7,Moritz,m
7,Nick,m
7,Simon,m
6,Alessia,w
6,Aurelia,w
6,Ayla,w
6,Elisabeth,w
6,Adrian,m
6,Esma,w
6,Christian,m
6,Luise,w
6,Emilio,m
6,Marlene,w
6,Fabian,m
6,Nur,w
6,Florian,m
6,Sarah,w
6,Johannes,m
6,Viktoria,w
6,Konstantin,m
6,Linus,m
6,Mark,m
6,Mateo,m
6,Michael,m
6,Niklas,m
6,Noel,m
6,Sebastian,m
6,Wolfgang,m
5,Alexandra,w
5,Amalia,w
5,Carlotta,w
5,Chiara,w
5,Ela,w
5,Elina,w
5,Eva,w
5,Fatma,w
5,Jolina,w
5,Aaron,m
5,Josephine,w
5,Andreas,m
5,Karla,w
5,Arda,m
5,Karolina,w
5,Benedikt,m
5,Leana,w
5,Deniz,m
5,Luisa,w
5,Elia,m
5,Mara,w
5,Enes,m
5,Melissa,w
5,Ferdinand,m
5,Nicole,w
5,Friedrich,m
5,Pauline,w
5,Georg,m
5,Romy,w
5,Hamza,m
5,Sofie,w
5,Henri,m
5,Julius,m
5,Jürgen,m
5,Luke,m
5,Martin,m
5,Mats,m
5,Matteo,m
5,Milan,m
5,Nils,m
5,Ole,m
5,Philipp,m
5,Samu,m
5,Selim,m
4,Alisa,w
4,Antonia,w
4,Aylin,w
4,Cataleya,w
4,Elsa,w
4,Emelie,w
4,Franziska,w
4,Helena,w
4,Ida,w
4,Jana,w
4,Letizia,w
4,Liana,w
4,Magdalena,w
4,Adam,m
4,Mariella,w
4,Alexandru,m
4,Mayla,w
4,Andrei,m
4,Miray,w
4,Berat,m
4,Miriam,w
4,Christopher,m
4,Nele,w
4,Constantin,m
4,Nina,w
4,Damian,m
4,Paula,w
4,Darius,m
4,Pia,w
4,Dennis,m
4,Rosalie,w
4,Emanuel,m
4,Selin,w
4,Eren,m
4,Selina,w
4,Eymen,m
4,Valeria,w
4,Francesco,m
4,Vanessa,w
4,Kaan,m
4,Zoe,w
4,Karl,m
4,Leonard,m
4,Lias,m
4,Lion,m
4,Marcel,m
4,Marvin,m
4,Mehmet,m
4,Nikita,m
4,Oskar,m
4,Osman,m
4,Patrick,m
4,Phil,m
4,Robin,m
3,Alea,w
3,Amelia,w
3,Amira,w
3,Anastasia,w
3,Anita,w
3,Asmin,w
3,Aurela,w
3,Aurora,w
3,Azra,w
3,Beyza,w
3,Carla,w
3,Carolin,w
3,Carolina,w
3,Adem,m
3,Eliza,w
3,Alessio,m
3,Emilie,w
3,Alp,m
3,Emine,w
3,Amar,m
3,Erva,w
3,Anton,m
3,Eslem,w
3,Barış,m
3,Esra,w
3,Bennet,m
3,Frieda,w
3,Bruno,m
3,Greta,w
3,Chris,m
3,Helene,w
3,Colin,m
3,Isabell,w
3,Davide,m
3,Joleen,w
3,Denis,m
3,Julie,w
3,Devin,m
3,Juna,w
3,Dion,m
3,Kate,w
3,Edgar,m
3,Kaur,w
3,Efe,m
3,Leona,w
3,Elion,m
3,Leyla,w
3,Elyas,m
3,Lilli,w
3,Emin,m
3,Luana,w
3,Furkan,m
3,Lucia,w
3,Giuliano,m
3,Luna,w
3,Hannes,m
3,Lynn,w
3,Hermann,m
3,Marina,w
3,Jamie,m
3,Marissa,w
3,Jannis,m
3,Mathilda,w
3,Johann,m
3,Maya,w
3,Jona,m
3,Medina,w
3,Kerem,m
3,Melisa,w
3,Lennard,m
3,Michaela,w
3,Lennox,m
3,Milena,w
3,Leonardo,m
3,Noemi,w
3,Luan,m
3,Rebekka,w
3,Matti,m
3,Rosa,w
3,Mika,m
3,Samira,w
3,Muhammad,m
3,Theresa,w
3,Niclas,m
3,Valentina,w
3,Oliver,m
3,Yaren,w
3,Richard,m
3,Zara,w
3,Sven,m
3,Taha,m
3,Tarik,m
3,Theo,m
3,Til,m
3,Tobias,m
3,Tyler,m
3,Ömer,m
2,Aileen,w
2,Alara,w
2,Alba,w
2,Alia,w
2,Alice,w
2,Alicia,w
2,Allison,w
2,Almira,w
2,Alessandro,m
2,Alya,w
2,Alex,m
2,Amina,w
2,Andrej,m
2,Amine,w
2,Aras,m
2,Amélie,w
2,Arnis,m
2,Andrea,w
2,Arthur,m
2,Anna-Lena,w
2,Aurelio,m
2,Annalisa,w
2,Auron,m
2,Annelie,w
2,Azad,m
2,Anni,w
2,Baran,m
2,Ariana,w
2,Bilal,m
2,Arin,w
2,Can,m
2,Ayşe,w
2,Cudi,m
2,Betül,w
2,Daniil,m
2,Carmen,w
2,Danny,m
2,Celina,w
2,Darian,m
2,Ceyda,w
2,Daris,m
2,Chanel,w
2,Dean,m
2,Chayenne,w
2,Dejan,m
2,Denisa,w
2,Denny,m
2,Denise,w
2,Domenico,m
2,Deniz,w
2,Dominic,m
2,Dimitrova,w
2,Dominik,m
2,Diora,w
2,Edin,m
2,Eda,w
2,Eli,m
2,Elise,w
2,Elian,m
2,Elmira,w
2,Emilian,m
2,Enya,w
2,Emre,m
2,Erika,w
2,Ensar,m
2,Erina,w
2,Eray,m
2,Esila,w
2,Eric,m
2,Eve,w
2,Erion,m
2,Fatima,w
2,Eyüp,m
2,Felicitas,w
2,Fabio,m
2,Fiona,w
2,Florin,m
2,Florentine,w
2,Frank,m
2,Gioia,w
2,Fridolin,m
2,Hana,w
2,Fynn,m
2,Hatice,w
2,Giuseppe,m
2,Helga,w
2,Hagen,m
2,Helin,w
2,Halil,m
2,Hira,w
2,Han,m
2,Hümeyra,w
2,Hüseyin,m
2,Ilse,w
2,Ibrahim,m
2,İpek,w
2,Ilyas,m
2,Isabel,w
2,Jack,m
2,Isabelle,w
2,Jacob,m
2,Ivona,w
2,Jamal,m
2,Jasmina,w
2,Jannik,m
2,Jolie,w
2,Jay,m
2,Joy,w
2,Jochen,m
2,Joyce,w
2,Jonah,m
2,Juliane,w
2,Josef,m
2,Karina,w
2,Juan,m
2,Karlotta,w
2,Justus,m
2,Kiara,w
2,Kevin,m
2,Kimberly,w
2,Koray,m
2,Larissa,w
2,Lasse,m
2,Leonita,w
2,Laurent,m
2,Leonora,w
2,Laurin,m
2,Liah,w
2,Leandro,m
2,Linda,w
2,Lenn,m
2,Lora,w
2,Levi,m
2,Loreen,w
2,Lian,m
2,Lorena,w
2,Lio,m
2,Lotte,w
2,Lucas,m
2,Lucy,w
2,Lucian,m
2,Madeleine,w
2,Mahir,m
2,Madita,w
2,Malte,m
2,Mariam,w
2,Mario,m
2,Marleen,w
2,Marko,m
2,Martha,w
2,Matheo,m
2,Maxima,w
2,Michel,m
2,Melanie,w
2,Mihai,m
2,Melek,w
2,Mike,m
2,Monika,w
2,Mio,m
2,Nathalia,w
2,Mirhat,m
2,Nela,w
2,Mohamed,m
2,Olivia,w
2,Muhamed,m
2,Philippa,w
2,Musa,m
2,Rahime,w
2,Musab,m
2,Ravzanur,w
2,Nathanael,m
2,Rita,w
2,Neo,m
2,Salma,w
2,Nicolas,m
2,Samantha,w
2,Oscar,m
2,Sarina,w
2,Pablo,m
2,Sinem,w
2,Pepe,m
2,Stella,w
2,Peter,m
2,Tatjana,w
2,Phillip,m
2,Teresa,w
2,Robert,m
2,Thea,w
2,Roni,m
2,Tiara,w
2,Rüzgar,m
2,Veronika,w
2,Salvatore,m
2,Viviana,w
2,Samy,m
2,Vivien,w
2,Silas,m
2,Xenia,w
2,Stefan,m
2,Yara,w
2,Teoman,m
2,Zehra,w
2,Theodor,m
2,Zoé,w
2,Volker,m
2,Zümra,w
2,William,m
2,Yasin,m
2,Yigit,m
2,Yusein,m
2,Yuşa,m
1,(Vorname,w
1,Aaila,w
1,Aaliya,w
1,Aarya,w
1,Achelya,w
1,Aamir,m
1,Ada,w
1,Abdalhasiyb,m
1,Adela,w
1,Abdul,m
1,Adelina,w
1,Abdulhakim,m
1,Adriana,w
1,Abdullah,m
1,Aisha,w
1,Abhiraj,m
1,Aişe,w
1,Abraham,m
1,Ajla,w
1,Abyan,m
1,Ala,w
1,Achille,m
1,Albesa,w
1,Achim,m
1,Albnora,w
1,Adelin,m
1,Aleah,w
1,Adlanović,m
1,Aleksandra,w
1,Agah,m
1,Alexa,w
1,Ahmad-Mehdi,m
1,Alin,w
1,Ahmet-Eren,m
1,Alisha,w
1,Aiden,m
1,Alison,w
1,Akay,m
1,Aliyah,w
1,Akbar,m
1,Allegra,w
1,Al-Malik,m
1,Alma,w
1,Albin,m
1,Altina,w
1,Albion,m
1,Alyssa,w
1,Aldin,m
1,Amadea,w
1,Ali-Ensar,m
1,Amanda,w
1,Alin,m
1,Amara,w
1,Alnis,m
1,Amber,w
1,Alpay,m
1,Amelia-Lou,w
1,Alperen,m
1,Amely,w
1,Alpha,m
1,Amilia,w
1,Altan,m
1,Amir,w
1,Althom,m
1,Amitiss,w
1,Altion,m
1,Amy,w
1,Amed,m
1,Amèlie,w
1,Amel,m
1,Ana,w
1,Amir,m
1,Anastasia-Varvara,w
1,Amiro,m
1,Anaya,w
1,Ammar,m
1,Andreea,w
1,Amos,m
1,Andriyanova,w
1,Andi,m
1,Anea,w
1,André,m
1,Anela,w
1,Anes,m
1,Angelia,w
1,Angelos,m
1,Angelina,w
1,Anik,m
1,Anginell,w
1,Antoni,m
1,Ani,w
1,Antonino,m
1,Anika,w
1,Antonio,m
1,Anike,w
1,Antonius,m
1,Anjulie,w
1,Antony,m
1,Ann,w
1,Anwer,m
1,Annabelle,w
1,Araz,m
1,Annie,w
1,Arcade,m
1,Annika,w
1,Ardil,m
1,Antoaneta,w
1,Ardit,m
1,Antoinette,w
1,Ardonis,m
1,Antonie,w
1,Aren,m
1,Antonina,w
1,Ari,m
1,Aria,w
1,Aris,m
1,Arianna,w
1,Arlind,m
1,Arina,w
1,Armando,m
1,Ariola,w
1,Arthit,m
1,Aristea,w
1,Artian,m
1,Arya,w
1,Aryan,m
1,Asenova,w
1,Askan,m
1,Assija,w
1,Atila,m
1,Asya,w
1,Atilla,m
1,Atullya,w
1,Attila,m
1,Avelina,w
1,Avdi,m
1,Avivan,w
1,Avdija,m
1,Ayete,w
1,Ayan,m
1,Ayleen,w
1,Ayden,m
1,Aymara,w
1,Ayomide,m
1,Ayra,w
1,Baha-Enes,m
1,Ayten,w
1,Bahoz,m
1,Azahara,w
1,Baki,m
1,Banu,w
1,Balian,m
1,Barbara,w
1,Bastian,m
1,Baya,w
1,Bayram,m
1,Beate,w
1,Beat,m
1,Beatrice,w
1,Bebe,m
1,Begüm,w
1,Bedirhan,m
1,Bengül,w
1,Bekir,m
1,Berfin,w
1,Belgin,m
1,Beril,w
1,Ben-Massimiliano,m
1,Bettina,w
1,Bendeguz,m
1,Betty,w
1,Benedek,m
1,Bianca,w
1,Berk,m
1,Bina,w
1,Berkan,m
1,Biricik,w
1,Berkay,m
1,Birsen,w
1,Bernd,m
1,Blerona,w
1,Betuel,m
1,Bleta,w
1,Beytullah,m
1,Bletare,w
1,Bilel,m
1,Boncheva,w
1,Birgin,m
1,Buğlem,w
1,Birhan,m
1,Byan,w
1,Blenar,m
1,Camille,w
1,Blend,m
1,Cansu,w
1,Bob,m
1,Cassiopeia,w
1,Bobby,m
1,Caterina,w
1,Bogdau,m
1,Celia,w
1,Boran,m
1,Cennet,w
1,Brian,m
1,Ceylin,w
1,Bryan,m
1,Ceysu,w
1,Bálint,m
1,Charlenne,w
1,Cahit,m
1,Charlène,w
1,Carl,m
1,Chloé,w
1,Carlos,m
1,Ciara,w
1,Carsten,m
1,Claire,w
1,Casper,m
1,Clarissa,w
1,Castiel,m
1,Clea,w
1,Catrell,m
1,Contesa,w
1,Caush,m
1,Cornelia,w
1,Cedrik,m
1,Céline,w
1,Celal,m
1,Cătălin,w
1,Cem,m
1,Dalia,w
1,Cemre,m
1,Daliah,w
1,Cesar,m
1,Dalina,w
1,Ceyden,m
1,Dana,w
1,Charles,m
1,Daniela,w
1,Chijioke,m
1,Darina,w
1,Chima,m
1,Daviella,w
1,Christof,m
1,Davinja,w
1,Cihan,m
1,Deborah,w
1,Clemens,m
1,Defne,w
1,Collin,m
1,Defne-Zennur,w
1,Connor,m
1,Delaja,w
1,Cosmo,m
